date,model,variable,RGR,n_assets,perturbation_percentage
2025-09-01,ridge,ret_1w,0.999999,407,0.05
2025-09-01,ridge,vol_3m,0.999989,407,0.05
2025-09-01,ridge,ret_1m,0.984343,407,0.05
2025-09-01,ridge,ret_12m,0.983931,407,0.05
2025-09-01,ridge,amihud,0.980813,407,0.05
2025-09-01,ridge,ret_3m,0.9774,407,0.05
2025-09-01,ridge,vol_ratio,0.97547,407,0.05
2025-09-01,ridge,ret_6m,0.966408,407,0.05
2025-09-01,ridge,vol_1m,0.961063,407,0.05
2025-09-01,ridge,log_mktcap,0.775353,407,0.05
2025-10-01,ridge,ret_1w,0.999861,407,0.05
2025-10-01,ridge,vol_3m,0.999764,407,0.05
2025-10-01,ridge,amihud,0.988012,407,0.05
2025-10-01,ridge,ret_12m,0.98721,407,0.05
2025-10-01,ridge,ret_1m,0.984672,407,0.05
2025-10-01,ridge,vol_ratio,0.981484,407,0.05
2025-10-01,ridge,ret_3m,0.977302,407,0.05
2025-10-01,ridge,vol_1m,0.973526,407,0.05
2025-10-01,ridge,ret_6m,0.970485,407,0.05
2025-10-01,ridge,log_mktcap,0.775739,407,0.05
2025-11-03,ridge,ret_1w,0.999894,407,0.05
2025-11-03,ridge,vol_3m,0.999595,407,0.05
2025-11-03,ridge,ret_1m,0.985245,407,0.05
2025-11-03,ridge,amihud,0.98499,407,0.05
2025-11-03,ridge,ret_12m,0.982725,407,0.05
2025-11-03,ridge,vol_ratio,0.979413,407,0.05
2025-11-03,ridge,ret_3m,0.97139,407,0.05
2025-11-03,ridge,ret_6m,0.963614,407,0.05
2025-11-03,ridge,vol_1m,0.957684,407,0.05
2025-11-03,ridge,log_mktcap,0.771568,407,0.05
2025-12-01,ridge,vol_3m,0.999865,407,0.05
2025-12-01,ridge,ret_1w,0.999853,407,0.05
2025-12-01,ridge,amihud,0.982043,407,0.05
2025-12-01,ridge,ret_12m,0.981676,407,0.05
2025-12-01,ridge,ret_1m,0.981609,407,0.05
2025-12-01,ridge,vol_ratio,0.977387,407,0.05
2025-12-01,ridge,ret_3m,0.976835,407,0.05
2025-12-01,ridge,vol_1m,0.95996,407,0.05
2025-12-01,ridge,ret_6m,0.95627,407,0.05
2025-12-01,ridge,log_mktcap,0.782822,407,0.05
2023-01-02,xgboost,vol_1m,0.999709,407,0.05
2023-01-02,xgboost,vol_3m,0.999528,407,0.05
2023-01-02,xgboost,ret_3m,0.997694,407,0.05
2023-01-02,xgboost,ret_1w,0.995547,407,0.05
2023-01-02,xgboost,ret_6m,0.994932,407,0.05
2023-01-02,xgboost,vol_ratio,0.993991,407,0.05
2023-01-02,xgboost,amihud,0.992015,407,0.05
2023-01-02,xgboost,ret_12m,0.984453,407,0.05
2023-01-02,xgboost,ret_1m,0.953797,407,0.05
2023-01-02,xgboost,log_mktcap,0.88858,407,0.05
2023-02-01,xgboost,vol_1m,0.997627,407,0.05
2023-02-01,xgboost,amihud,0.996649,407,0.05
2023-02-01,xgboost,vol_3m,0.993278,407,0.05
2023-02-01,xgboost,ret_3m,0.992931,407,0.05
2023-02-01,xgboost,ret_1w,0.984444,407,0.05
2023-02-01,xgboost,ret_6m,0.97291,407,0.05
2023-02-01,xgboost,ret_1m,0.972504,407,0.05
2023-02-01,xgboost,vol_ratio,0.954699,407,0.05
2023-02-01,xgboost,ret_12m,0.932928,407,0.05
2023-02-01,xgboost,log_mktcap,0.81021,407,0.05
2023-03-01,xgboost,amihud,0.998615,407,0.05
2023-03-01,xgboost,vol_1m,0.997651,407,0.05
2023-03-01,xgboost,vol_3m,0.997316,407,0.05
2023-03-01,xgboost,ret_6m,0.996112,407,0.05
2023-03-01,xgboost,ret_1w,0.995393,407,0.05
2023-03-01,xgboost,vol_ratio,0.993019,407,0.05
2023-03-01,xgboost,ret_3m,0.987535,407,0.05
