date,model,variable,RGE,n_assets
2024-02-01,xgboost,vol_1m,0.000122,407
2024-02-01,xgboost,vol_3m,0.0,407
2024-03-01,xgboost,log_mktcap,0.224339,407
2024-03-01,xgboost,ret_1m,0.205888,407
2024-03-01,xgboost,amihud,0.07856,407
2024-03-01,xgboost,ret_3m,0.075372,407
2024-03-01,xgboost,vol_ratio,0.069455,407
2024-03-01,xgboost,ret_12m,0.038727,407
2024-03-01,xgboost,ret_6m,0.038007,407
2024-03-01,xgboost,vol_3m,0.035696,407
2024-03-01,xgboost,vol_1m,0.027577,407
2024-03-01,xgboost,ret_1w,0.0,407
2024-04-01,xgboost,log_mktcap,0.175786,407
2024-04-01,xgboost,ret_1m,0.076903,407
2024-04-01,xgboost,ret_3m,0.011984,407
2024-04-01,xgboost,amihud,0.010053,407
2024-04-01,xgboost,ret_12m,0.009171,407
2024-04-01,xgboost,ret_6m,0.007714,407
2024-04-01,xgboost,vol_ratio,0.006134,407
2024-04-01,xgboost,ret_1w,0.002506,407
2024-04-01,xgboost,vol_1m,0.0,407
2024-04-01,xgboost,vol_3m,0.0,407
2024-05-01,xgboost,log_mktcap,0.226654,407
2024-05-01,xgboost,ret_1m,0.065012,407
2024-05-01,xgboost,vol_ratio,0.026545,407
2024-05-01,xgboost,ret_12m,0.022743,407
2024-05-01,xgboost,ret_3m,0.016051,407
2024-05-01,xgboost,amihud,0.012772,407
2024-05-01,xgboost,vol_3m,0.006248,407
2024-05-01,xgboost,ret_6m,0.005406,407
2024-05-01,xgboost,vol_1m,0.002296,407
2024-05-01,xgboost,ret_1w,0.002187,407
2024-06-03,xgboost,log_mktcap,0.165593,407
2024-06-03,xgboost,ret_1m,0.074493,407
2024-06-03,xgboost,vol_ratio,0.027367,407
2024-06-03,xgboost,ret_12m,0.026742,407
2024-06-03,xgboost,ret_3m,0.010641,407
2024-06-03,xgboost,amihud,0.006234,407
2024-06-03,xgboost,ret_6m,0.003125,407
2024-06-03,xgboost,ret_1w,0.002051,407
2024-06-03,xgboost,vol_1m,0.0,407
2024-06-03,xgboost,vol_3m,0.0,407
2024-07-01,xgboost,log_mktcap,0.265666,407
2024-07-01,xgboost,ret_1m,0.23653,407
2024-07-01,xgboost,ret_3m,0.179436,407
2024-07-01,xgboost,ret_12m,0.170954,407
2024-07-01,xgboost,vol_1m,0.080417,407
2024-07-01,xgboost,ret_6m,0.070265,407
2024-07-01,xgboost,amihud,0.014891,407
2024-07-01,xgboost,vol_3m,0.003205,407
2024-07-01,xgboost,ret_1w,0.0,407
2024-07-01,xgboost,vol_ratio,0.0,407
2024-08-01,xgboost,log_mktcap,0.249298,407
