model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
mlp,mlp_31,"layers=(256,),alpha=0.01,lr_init=0.001,bs=128",0.601476,0.500509,0.637164,0.441668,0.516192,0.817782,0.630261,1.089339,0.178339,0.90682,0.208219,0.191143,1.428186,1.167552
mlp,mlp_31,"layers=(256,),alpha=0.01,lr_init=0.001,bs=128",0.601476,0.500509,0.637164,0.441668,0.516192,0.817782,0.630261,1.089339,0.178339,0.90682,0.208219,0.191143,1.428186,1.167552
mlp,mlp_32,"layers=(256, 128),alpha=0.01,lr_init=0.0001,bs=256",0.600273,0.500381,0.634967,0.449624,0.522677,0.823743,0.60505,0.858031,0.162197,0.913522,0.157483,0.18354,1.246124,0.970938
mlp,mlp_32,"layers=(256, 128),alpha=0.01,lr_init=0.0001,bs=256",0.600273,0.500381,0.634967,0.449624,0.522677,0.823743,0.60505,0.858031,0.162197,0.913522,0.157483,0.18354,1.246124,0.970938
mlp,mlp_33,"layers=(64, 32),alpha=0.01,lr_init=0.001,bs=128",0.60214,0.501059,0.638032,0.458879,0.507335,0.825172,0.617175,1.05041,0.168012,0.938028,0.194959,0.185603,1.471273,1.160386
mlp,mlp_33,"layers=(64, 32),alpha=0.01,lr_init=0.001,bs=128",0.60214,0.501059,0.638032,0.458879,0.507335,0.825172,0.617175,1.05041,0.168012,0.938028,0.194959,0.185603,1.471273,1.160386
mlp,mlp_34,"layers=(64, 32),alpha=0.0001,lr_init=0.0005,bs=128",0.608585,0.507655,0.643269,0.453703,0.541706,0.840397,0.598533,0.827492,0.166758,0.956685,0.143053,0.172875,1.19387,0.857845
mlp,mlp_34,"layers=(64, 32),alpha=0.0001,lr_init=0.0005,bs=128",0.608585,0.507655,0.643269,0.453703,0.541706,0.840397,0.598533,0.827492,0.166758,0.956685,0.143053,0.172875,1.19387,0.857845
mlp,mlp_35,"layers=(128, 64, 32),alpha=0.0001,lr_init=0.0005,bs=128",0.59957,0.498921,0.635237,0.451516,0.520672,0.824481,0.601611,1.094733,0.232751,0.940604,0.204892,0.187162,1.600294,0.880306
mlp,mlp_35,"layers=(128, 64, 32),alpha=0.0001,lr_init=0.0005,bs=128",0.59957,0.498921,0.635237,0.451516,0.520672,0.824481,0.601611,1.094733,0.232751,0.940604,0.204892,0.187162,1.600294,0.880306
mlp,mlp_36,"layers=(128, 64, 32),alpha=0.1,lr_init=0.0001,bs=64",0.571919,0.462477,0.617342,0.441171,0.427783,0.809558,0.609164,0.914666,0.197329,0.853121,0.202416,0.221301,1.273733,1.025782
mlp,mlp_36,"layers=(128, 64, 32),alpha=0.1,lr_init=0.0001,bs=64",0.571919,0.462477,0.617342,0.441171,0.427783,0.809558,0.609164,0.914666,0.197329,0.853121,0.202416,0.221301,1.273733,1.025782
mlp,mlp_37,"layers=(128, 64, 32),alpha=0.001,lr_init=0.0005,bs=128",0.601564,0.501437,0.63639,0.453099,0.528159,0.824014,0.600984,0.917213,0.1854,0.920736,0.176074,0.191967,1.366178,0.949699
mlp,mlp_37,"layers=(128, 64, 32),alpha=0.001,lr_init=0.0005,bs=128",0.601564,0.501437,0.63639,0.453099,0.528159,0.824014,0.600984,0.917213,0.1854,0.920736,0.176074,0.191967,1.366178,0.949699
mlp,mlp_38,"layers=(64,),alpha=0.01,lr_init=0.001,bs=256",0.599755,0.498114,0.636376,0.442186,0.521233,0.83487,0.600732,0.605065,0.206004,0.926011,0.11666,0.192807,0.833349,0.566301
mlp,mlp_38,"layers=(64,),alpha=0.01,lr_init=0.001,bs=256",0.599755,0.498114,0.636376,0.442186,0.521233,0.83487,0.600732,0.605065,0.206004,0.926011,0.11666,0.192807,0.833349,0.566301
