date,model,group,perturbation_percentage,RGR,n_assets,model_date
2025-03-03,ridge,all_features,0.2,0.285643,407,2025-03-03
2025-03-03,ridge,all_features,0.25,0.193226,407,2025-03-03
2025-03-03,ridge,all_features,0.3,0.118966,407,2025-03-03
2025-03-03,ridge,all_features,0.35,0.060904,407,2025-03-03
2025-03-03,ridge,all_features,0.4,0.020293,407,2025-03-03
2025-03-03,ridge,all_features,0.45,0.00268,407,2025-03-03
2025-03-03,ridge,all_features,0.5,0.0,407,2025-03-03
2025-04-01,ridge,all_features,0.0,1.0,407,2025-04-01
2025-04-01,ridge,all_features,0.05,0.729093,407,2025-04-01
2025-04-01,ridge,all_features,0.1,0.576963,407,2025-04-01
2025-04-01,ridge,all_features,0.15,0.437798,407,2025-04-01
2025-04-01,ridge,all_features,0.2,0.316837,407,2025-04-01
2025-04-01,ridge,all_features,0.25,0.22165,407,2025-04-01
2025-04-01,ridge,all_features,0.3,0.131996,407,2025-04-01
2025-04-01,ridge,all_features,0.35,0.070096,407,2025-04-01
2025-04-01,ridge,all_features,0.4,0.025959,407,2025-04-01
2025-04-01,ridge,all_features,0.45,0.003113,407,2025-04-01
2025-04-01,ridge,all_features,0.5,0.0,407,2025-04-01
2025-05-01,ridge,all_features,0.0,1.0,407,2025-05-01
2025-05-01,ridge,all_features,0.05,0.740993,407,2025-05-01
2025-05-01,ridge,all_features,0.1,0.560734,407,2025-05-01
2025-05-01,ridge,all_features,0.15,0.434453,407,2025-05-01
2025-05-01,ridge,all_features,0.2,0.33824,407,2025-05-01
2025-05-01,ridge,all_features,0.25,0.233928,407,2025-05-01
2025-05-01,ridge,all_features,0.3,0.154435,407,2025-05-01
2025-05-01,ridge,all_features,0.35,0.080853,407,2025-05-01
2025-05-01,ridge,all_features,0.4,0.027391,407,2025-05-01
2025-05-01,ridge,all_features,0.45,0.003897,407,2025-05-01
2025-05-01,ridge,all_features,0.5,0.0,407,2025-05-01
2025-06-02,ridge,all_features,0.0,1.0,407,2025-06-02
2025-06-02,ridge,all_features,0.05,0.730775,407,2025-06-02
2025-06-02,ridge,all_features,0.1,0.553816,407,2025-06-02
2025-06-02,ridge,all_features,0.15,0.4276,407,2025-06-02
2025-06-02,ridge,all_features,0.2,0.335813,407,2025-06-02
2025-06-02,ridge,all_features,0.25,0.234442,407,2025-06-02
2025-06-02,ridge,all_features,0.3,0.160529,407,2025-06-02
2025-06-02,ridge,all_features,0.35,0.092703,407,2025-06-02
2025-06-02,ridge,all_features,0.4,0.031553,407,2025-06-02
2025-06-02,ridge,all_features,0.45,0.003673,407,2025-06-02
2025-06-02,ridge,all_features,0.5,0.0,407,2025-06-02
2025-07-01,ridge,all_features,0.0,1.0,407,2025-07-01
2025-07-01,ridge,all_features,0.05,0.755233,407,2025-07-01
2025-07-01,ridge,all_features,0.1,0.567094,407,2025-07-01
2025-07-01,ridge,all_features,0.15,0.439139,407,2025-07-01
2025-07-01,ridge,all_features,0.2,0.327877,407,2025-07-01
2025-07-01,ridge,all_features,0.25,0.245538,407,2025-07-01
2025-07-01,ridge,all_features,0.3,0.15796,407,2025-07-01
2025-07-01,ridge,all_features,0.35,0.087775,407,2025-07-01
2025-07-01,ridge,all_features,0.4,0.027672,407,2025-07-01
2025-07-01,ridge,all_features,0.45,0.003482,407,2025-07-01
2025-07-01,ridge,all_features,0.5,0.0,407,2025-07-01
2025-08-01,ridge,all_features,0.0,1.0,407,2025-08-01
2025-08-01,ridge,all_features,0.05,0.73236,407,2025-08-01
2025-08-01,ridge,all_features,0.1,0.539538,407,2025-08-01
2025-08-01,ridge,all_features,0.15,0.409073,407,2025-08-01
2025-08-01,ridge,all_features,0.2,0.313026,407,2025-08-01
2025-08-01,ridge,all_features,0.25,0.213985,407,2025-08-01
2025-08-01,ridge,all_features,0.3,0.128165,407,2025-08-01
2025-08-01,ridge,all_features,0.35,0.063254,407,2025-08-01
2025-08-01,ridge,all_features,0.4,0.022744,407,2025-08-01
2025-08-01,ridge,all_features,0.45,0.002616,407,2025-08-01
2025-08-01,ridge,all_features,0.5,0.0,407,2025-08-01
2025-09-01,ridge,all_features,0.0,1.0,407,2025-09-01
2025-09-01,ridge,all_features,0.05,0.737609,407,2025-09-01
2025-09-01,ridge,all_features,0.1,0.540956,407,2025-09-01
2025-09-01,ridge,all_features,0.15,0.417127,407,2025-09-01
2025-09-01,ridge,all_features,0.2,0.301292,407,2025-09-01
2025-09-01,ridge,all_features,0.25,0.210209,407,2025-09-01
2025-09-01,ridge,all_features,0.3,0.134263,407,2025-09-01
2025-09-01,ridge,all_features,0.35,0.070376,407,2025-09-01
2025-09-01,ridge,all_features,0.4,0.024966,407,2025-09-01
2025-09-01,ridge,all_features,0.45,0.002933,407,2025-09-01
2025-09-01,ridge,all_features,0.5,0.0,407,2025-09-01
2025-10-01,ridge,all_features,0.0,1.0,407,2025-10-01
2025-10-01,ridge,all_features,0.05,0.753102,407,2025-10-01
2025-10-01,ridge,all_features,0.1,0.549291,407,2025-10-01
2025-10-01,ridge,all_features,0.15,0.380261,407,2025-10-01
2025-10-01,ridge,all_features,0.2,0.275186,407,2025-10-01
2025-10-01,ridge,all_features,0.25,0.175391,407,2025-10-01
2025-10-01,ridge,all_features,0.3,0.100873,407,2025-10-01
2025-10-01,ridge,all_features,0.35,0.048842,407,2025-10-01
2025-10-01,ridge,all_features,0.4,0.016357,407,2025-10-01
2025-10-01,ridge,all_features,0.45,0.002456,407,2025-10-01
2025-10-01,ridge,all_features,0.5,0.0,407,2025-10-01
2025-11-03,ridge,all_features,0.0,1.0,407,2025-11-03
2025-11-03,ridge,all_features,0.05,0.779574,407,2025-11-03
2025-11-03,ridge,all_features,0.1,0.593049,407,2025-11-03
2025-11-03,ridge,all_features,0.15,0.457242,407,2025-11-03
2025-11-03,ridge,all_features,0.2,0.337845,407,2025-11-03
2025-11-03,ridge,all_features,0.25,0.212135,407,2025-11-03
2025-11-03,ridge,all_features,0.3,0.129407,407,2025-11-03
2025-11-03,ridge,all_features,0.35,0.065721,407,2025-11-03
2025-11-03,ridge,all_features,0.4,0.020659,407,2025-11-03
2025-11-03,ridge,all_features,0.45,0.002637,407,2025-11-03
2025-11-03,ridge,all_features,0.5,0.0,407,2025-11-03
2025-12-01,ridge,all_features,0.0,1.0,407,2025-12-01
2025-12-01,ridge,all_features,0.05,0.764826,407,2025-12-01
2025-12-01,ridge,all_features,0.1,0.584013,407,2025-12-01
2025-12-01,ridge,all_features,0.15,0.435675,407,2025-12-01
2025-12-01,ridge,all_features,0.2,0.328924,407,2025-12-01
2025-12-01,ridge,all_features,0.25,0.223201,407,2025-12-01
2025-12-01,ridge,all_features,0.3,0.132533,407,2025-12-01
2025-12-01,ridge,all_features,0.35,0.070781,407,2025-12-01
2025-12-01,ridge,all_features,0.4,0.02356,407,2025-12-01
2025-12-01,ridge,all_features,0.45,0.003091,407,2025-12-01
2025-12-01,ridge,all_features,0.5,0.0,407,2025-12-01
2023-01-02,xgboost,all_features,0.0,1.0,407,2023-01-02
2023-01-02,xgboost,all_features,0.05,0.772848,407,2023-01-02
2023-01-02,xgboost,all_features,0.1,0.528779,407,2023-01-02
2023-01-02,xgboost,all_features,0.15,0.372403,407,2023-01-02
2023-01-02,xgboost,all_features,0.2,0.261554,407,2023-01-02
2023-01-02,xgboost,all_features,0.25,0.196523,407,2023-01-02
2023-01-02,xgboost,all_features,0.3,0.170319,407,2023-01-02
2023-01-02,xgboost,all_features,0.35,0.190218,407,2023-01-02
2023-01-02,xgboost,all_features,0.4,0.188314,407,2023-01-02
2023-01-02,xgboost,all_features,0.45,0.187838,407,2023-01-02
2023-01-02,xgboost,all_features,0.5,0.187888,407,2023-01-02
2023-02-01,xgboost,all_features,0.0,1.0,407,2023-02-01
